Order No,Sales($),Quantity,Discount,Profit($),Price($)
2777,60.98 ,7,0.2,4.57 ,76.23 
2778,195.47 ,2,0.15,-13.80 ,229.96 
2779,23.68 ,8,0.2,6.22 ,29.60 
2780,2.38 ,3,0.2,0.74 ,2.97 
2781,59.20 ,4,0,29.60 ,59.20 
2782,22.00 ,10,0,9.68 ,22.00 
2783,257.98 ,2,0,74.81 ,257.98 
2784,23.99 ,2,0.4,-15.99 ,39.98 
2785,23.98 ,4,0.4,-15.58 ,39.96 
2786,601.54 ,4,0.2,0.00 ,751.92 
2787,7.90 ,2,0,2.53 ,7.90 
2788,58.36 ,5,0.6,-24.80 ,145.90 
2789,16.46 ,7,0.2,1.44 ,20.58 
2790,39.96 ,5,0.6,-23.98 ,99.90 
2791,25.96 ,2,0,7.53 ,25.96 
2792,36.27 ,3,0,10.88 ,36.27 
2793,6.48 ,1,0,3.11 ,6.48 
2794,"1,075.09 ",14,0.2,94.07 ,"1,343.86 "
2795,438.37 ,4,0.2,38.36 ,547.96 
2796,18.09 ,7,0.2,6.56 ,22.61 
2797,308.50 ,3,0.15,-18.15 ,362.94 
2798,13.36 ,4,0,4.14 ,13.36 
2799,39.96 ,2,0,18.78 ,39.96 
2800,145.85 ,5,0,70.01 ,145.85 
2801,783.96 ,5,0.2,78.40 ,979.95 
2802,7.88 ,1,0.2,1.77 ,9.85 
2803,41.37 ,3,0,17.38 ,41.37 
2804,12.84 ,3,0,5.78 ,12.84 
2805,25.68 ,6,0,11.56 ,25.68 
2806,47.52 ,2,0.3,-2.04 ,67.88 
2807,9.42 ,2,0,0.47 ,9.42 
2808,12.96 ,2,0,6.22 ,12.96 
2809,704.90 ,5,0,56.39 ,704.90 
2810,561.57 ,2,0.2,28.08 ,701.96 
2811,179.82 ,9,0,84.52 ,179.82 
2812,185.58 ,6,0,76.09 ,185.58 
2813,214.11 ,3,0,36.40 ,214.11 
2814,999.96 ,4,0,229.99 ,999.96 
2815,653.55 ,3,0,111.10 ,653.55 
2816,114.60 ,5,0,51.57 ,114.60 
2817,60.74 ,1,0,15.19 ,60.74 
2818,124.36 ,2,0,27.36 ,124.36 
2819,"1,088.76 ",6,0,315.74 ,"1,088.76 "
2820,6.72 ,5,0.2,2.35 ,8.40 
2821,298.78 ,3,0.2,7.47 ,373.47 
2822,302.38 ,3,0.2,22.68 ,377.97 
2823,8.93 ,2,0.2,0.56 ,11.16 
2824,47.58 ,2,0.2,-2.97 ,59.48 
2825,33.79 ,8,0.2,10.56 ,42.24 
2826,300.53 ,2,0.32,-97.23 ,441.96 
2827,2.72 ,2,0.8,-4.36 ,13.62 
2828,3.26 ,2,0.2,1.10 ,4.08 
2829,108.34 ,6,0.2,37.92 ,135.42 
2830,55.92 ,5,0.2,6.29 ,69.90 
2831,78.30 ,2,0.2,29.36 ,97.88 
2832,443.92 ,5,0.2,-94.33 ,554.90 
2833,155.98 ,3,0.2,54.59 ,194.97 
2834,15.47 ,7,0,4.18 ,15.47 
2835,7.16 ,2,0,3.44 ,7.16 
2836,10.89 ,1,0,2.83 ,10.89 
2837,19.44 ,3,0,9.33 ,19.44 
2838,121.60 ,5,0.2,39.52 ,152.00 
2839,695.70 ,2,0.5,-27.83 ,"1,391.40 "
2840,120.33 ,1,0,31.29 ,120.33 
2841,"1,139.92 ",4,0,284.98 ,"1,139.92 "
2842,229.54 ,7,0.2,83.21 ,286.93 
2843,143.73 ,2,0.2,-32.34 ,179.66 
2844,36.05 ,3,0.2,-0.90 ,45.06 
2845,845.49 ,8,0.3,-12.08 ,"1,207.84 "
2846,50.94 ,3,0,14.26 ,50.94 
2847,762.59 ,3,0.8,"-1,143.89 ","3,812.97 "
2848,56.28 ,6,0,15.76 ,56.28 
2849,"2,690.97 ",3,0,"1,264.76 ","2,690.97 "
2850,7.43 ,6,0.7,-5.70 ,24.78 
2851,64.78 ,1,0.2,-12.96 ,80.98 
2852,28.16 ,4,0,13.24 ,28.16 
2853,14.98 ,1,0,6.89 ,14.98 
2854,20.32 ,4,0,6.91 ,20.32 
2855,40.29 ,3,0,10.48 ,40.29 
2856,20.23 ,7,0,9.51 ,20.23 
2857,"1,603.14 ",4,0.2,100.20 ,"2,003.92 "
2858,225.30 ,2,0.2,22.53 ,281.62 
2859,67.80 ,4,0,4.07 ,67.80 
2860,377.97 ,3,0,98.27 ,377.97 
2861,"1,628.82 ",9,0,374.63 ,"1,628.82 "
2862,286.93 ,7,0,140.60 ,286.93 
2863,20.74 ,4,0.2,7.26 ,25.92 
2864,31.44 ,3,0,8.49 ,31.44 
2865,83.79 ,7,0,22.62 ,83.79 
2866,59.52 ,3,0,15.48 ,59.52 
2867,31.92 ,4,0,9.26 ,31.92 
2868,14.72 ,5,0.2,-3.31 ,18.40 
2869,38.98 ,3,0.2,-2.44 ,48.72 
2870,17.09 ,2,0.2,1.07 ,21.36 
2871,74.35 ,3,0.2,23.24 ,92.94 
2872,314.35 ,3,0.2,-35.36 ,392.94 
2873,4.26 ,1,0,1.75 ,4.26 
2874,811.28 ,8,0,24.34 ,811.28 
2875,6.03 ,3,0,2.95 ,6.03 
2876,153.57 ,2,0.2,-5.76 ,191.96 
2877,"1,013.49 ",7,0.2,76.01 ,"1,266.86 "
2878,52.34 ,2,0,24.60 ,52.34 
2879,4.66 ,2,0,1.35 ,4.66 
2880,254.97 ,3,0,91.79 ,254.97 
2881,25.44 ,6,0,12.72 ,25.44 
2882,27.93 ,3,0,8.10 ,27.93 
2883,8.85 ,5,0.8,-13.72 ,44.25 
2884,6.96 ,4,0,2.23 ,6.96 
2885,17.46 ,2,0.2,5.89 ,21.82 
2886,307.92 ,5,0.2,-34.64 ,384.90 
2887,6.63 ,3,0,1.79 ,6.63 
2888,12.96 ,2,0,6.22 ,12.96 
2889,32.40 ,5,0,15.55 ,32.40 
2890,23.85 ,5,0,10.73 ,23.85 
2891,51.96 ,2,0,12.99 ,51.96 
2892,17.94 ,3,0,8.61 ,17.94 
2893,11.56 ,2,0,5.66 ,11.56 
2894,26.40 ,5,0,11.88 ,26.40 
2895,69.08 ,11,0,29.01 ,69.08 
2896,35.88 ,3,0,10.05 ,35.88 
2897,49.65 ,5,0,20.85 ,49.65 
2898,959.97 ,4,0.2,120.00 ,"1,199.96 "
2899,408.42 ,2,0.3,-5.83 ,583.46 
2900,479.98 ,2,0.2,60.00 ,599.98 
2901,12.60 ,4,0,6.05 ,12.60 
2902,184.66 ,7,0,84.94 ,184.66 
2903,23.12 ,5,0.2,8.38 ,28.90 
2904,37.46 ,7,0.2,12.18 ,46.83 
2905,539.66 ,3,0.3,-7.71 ,770.94 
2906,310.12 ,2,0,80.63 ,310.12 
2907,8.56 ,2,0,3.85 ,8.56 
2908,52.40 ,5,0,14.15 ,52.40 
2909,14.94 ,3,0,6.87 ,14.94 
2910,11.22 ,3,0,0.22 ,11.22 
2911,387.14 ,4,0.2,24.20 ,483.92 
2912,41.40 ,5,0,19.46 ,41.40 
2913,35.00 ,4,0,10.50 ,35.00 
2914,39.55 ,3,0.2,14.34 ,49.44 
2915,135.72 ,3,0,35.29 ,135.72 
2916,12.56 ,2,0,5.65 ,12.56 
2917,263.96 ,4,0,71.27 ,263.96 
2918,5.95 ,1,0.2,0.37 ,7.44 
2919,15.80 ,5,0.2,2.37 ,19.75 
2920,14.37 ,2,0.2,3.95 ,17.96 
2921,70.45 ,7,0.2,12.33 ,88.06 
2922,129.30 ,2,0,6.47 ,129.30 
2923,3.88 ,3,0.8,-5.82 ,19.41 
2924,6.08 ,1,0,3.04 ,6.08 
2925,19.90 ,1,0,8.96 ,19.90 
2926,70.71 ,1,0,4.95 ,70.71 
2927,18.84 ,3,0,7.91 ,18.84 
2928,8.64 ,3,0,2.51 ,8.64 
2929,"1,633.19 ",4,0.7,"-1,306.55 ","5,443.96 "
2930,19.76 ,4,0,8.30 ,19.76 
2931,6.61 ,2,0.2,2.23 ,8.26 
2932,7.28 ,2,0.2,2.73 ,9.10 
2933,144.78 ,1,0.2,10.86 ,180.98 
2934,156.79 ,1,0.2,13.72 ,195.99 
2935,431.98 ,3,0.2,27.00 ,539.97 
2936,35.89 ,1,0,16.15 ,35.89 
2937,47.21 ,7,0.2,15.34 ,59.01 
2938,248.08 ,7,0,116.60 ,248.08 
2939,189.70 ,5,0,89.16 ,189.70 
2940,59.81 ,3,0.2,19.44 ,74.76 
2941,90.99 ,1,0,14.56 ,90.99 
2942,"1,526.56 ",7,0,427.44 ,"1,526.56 "
2943,368.97 ,3,0,40.59 ,368.97 
2944,305.01 ,9,0,76.25 ,305.01 
2945,18.70 ,1,0,7.11 ,18.70 
2946,38.29 ,7,0,16.46 ,38.29 
2947,26.25 ,3,0,11.03 ,26.25 
2948,64.96 ,14,0.2,22.74 ,81.20 
2949,43.70 ,5,0,20.54 ,43.70 
2950,41.60 ,4,0.2,13.00 ,52.00 
2951,23.12 ,5,0.2,8.38 ,28.90 
2952,113.89 ,2,0.2,9.97 ,142.36 
2953,113.57 ,2,0.2,-5.68 ,141.96 
2954,7.92 ,2,0.2,0.69 ,9.90 
2955,671.98 ,2,0.2,50.40 ,839.98 
2956,39.99 ,1,0,11.60 ,39.99 
2957,191.65 ,3,0.1,31.94 ,212.94 
2958,2.31 ,1,0.7,-1.93 ,7.71 
2959,19.94 ,4,0.2,7.23 ,24.92 
2960,45.92 ,4,0,21.58 ,45.92 
2961,20.34 ,3,0,9.36 ,20.34 
2962,39.28 ,8,0,19.25 ,39.28 
2963,81.57 ,2,0.2,9.18 ,101.96 
2964,97.18 ,2,0.2,6.07 ,121.48 
2965,24.32 ,5,0.2,8.21 ,30.40 
2966,18.96 ,2,0,7.58 ,18.96 
2967,32.95 ,6,0.6,-19.77 ,82.38 
2968,30.02 ,4,0.2,3.00 ,37.52 
2969,499.58 ,3,0.2,43.71 ,624.48 
2970,31.10 ,6,0.2,10.89 ,38.88 
2971,13.27 ,8,0.7,-10.62 ,44.24 
2972,28.27 ,2,0.2,6.36 ,35.34 
2973,259.14 ,4,0.2,-51.83 ,323.92 
2974,10.80 ,5,0,5.18 ,10.80 
2975,244.01 ,2,0.3,-31.37 ,348.58 
2976,15.94 ,4,0.2,5.38 ,19.92 
2977,188.55 ,7,0.3,-2.69 ,269.36 
2978,22.58 ,2,0,5.87 ,22.58 
2979,545.94 ,6,0,87.35 ,545.94 
2980,20.74 ,4,0.2,7.26 ,25.92 
2981,43.30 ,2,0.2,4.33 ,54.12 
2982,123.14 ,4,0.2,13.85 ,153.92 
2983,11.26 ,4,0.2,3.80 ,14.08 
2984,53.42 ,3,0.2,4.67 ,66.78 
2985,275.49 ,1,0.5,-170.80 ,550.98 
2986,24.96 ,4,0,6.24 ,24.96 
2987,19.36 ,2,0,9.29 ,19.36 
2988,"1,267.65 ",9,0,152.12 ,"1,267.65 "
2989,12.99 ,1,0,0.78 ,12.99 
2990,18.56 ,4,0.2,6.50 ,23.20 
2991,449.15 ,5,0,8.98 ,449.15 
2992,31.25 ,7,0.2,10.94 ,39.06 
2993,61.44 ,3,0,16.59 ,61.44 
2994,895.92 ,4,0,421.08 ,895.92 
2995,55.36 ,4,0.2,18.68 ,69.20 
2996,55.92 ,5,0.2,6.29 ,69.90 
2997,24.90 ,4,0.2,8.40 ,31.12 
2998,3.98 ,1,0.2,0.65 ,4.98 
2999,95.97 ,4,0.2,28.79 ,119.96 
3000,206.99 ,3,0.7,-172.49 ,689.97 
3001,44.42 ,2,0.2,3.89 ,55.52 
3002,9.01 ,2,0.7,-7.20 ,30.02 
3003,19.00 ,5,0,8.93 ,19.00 
3004,33.38 ,4,0.2,10.43 ,41.72 
3005,207.48 ,1,0,62.24 ,207.48 
3006,91.68 ,3,0,45.84 ,91.68 
3007,904.90 ,5,0,253.37 ,904.90 
3008,34.27 ,3,0.2,11.14 ,42.84 
3009,191.82 ,3,0,74.81 ,191.82 
3010,243.88 ,5,0.2,27.44 ,304.85 
3011,12.03 ,5,0.7,-9.22 ,40.10 
3012,"2,549.99 ",5,0.7,"-3,399.98 ","8,499.95 "
3013,21.59 ,2,0.7,-15.84 ,71.98 
3014,8.96 ,6,0.7,-6.57 ,29.88 
3015,20.74 ,4,0.2,7.26 ,25.92 
3016,344.22 ,2,0.4,-103.27 ,573.70 
3017,727.30 ,8,0.2,-172.73 ,909.12 
3018,22.61 ,3,0.6,-10.17 ,56.52 
3019,666.40 ,7,0.2,-33.32 ,833.00 
3020,5.04 ,3,0,0.20 ,5.04 
3021,92.94 ,3,0,41.82 ,92.94 
3022,66.69 ,3,0,22.01 ,66.69 
3023,91.68 ,5,0.2,28.65 ,114.60 
3024,327.73 ,2,0.32,-14.46 ,481.96 
3025,52.27 ,11,0.2,17.64 ,65.34 
3026,17.94 ,3,0,8.07 ,17.94 
3027,254.35 ,3,0.2,0.00 ,317.94 
3028,8.29 ,2,0.2,2.69 ,10.36 
3029,504.90 ,5,0,80.78 ,504.90 
3030,403.17 ,4,0.2,25.20 ,503.96 
3031,194.32 ,4,0,31.09 ,194.32 
3032,25.99 ,1,0,7.54 ,25.99 
3033,195.14 ,4,0.2,-12.20 ,243.92 
3034,20.74 ,4,0.2,7.26 ,25.92 
3035,53.70 ,6,0,10.20 ,53.70 
3036,36.26 ,7,0,16.68 ,36.26 
3037,56.30 ,2,0,15.76 ,56.30 
3038,32.40 ,5,0,15.55 ,32.40 
3039,29.16 ,2,0,10.79 ,29.16 
3040,171.29 ,3,0.2,-6.42 ,214.11 
3041,16.72 ,5,0.2,3.34 ,20.90 
3042,12.96 ,2,0,6.22 ,12.96 
3043,22.18 ,2,0,10.87 ,22.18 
3044,"2,054.27 ",8,0.2,256.78 ,"2,567.84 "
3045,"1,022.97 ",5,0.4,-255.74 ,"1,704.95 "
3046,13.90 ,5,0,3.61 ,13.90 
3047,26.38 ,1,0,12.13 ,26.38 
3048,43.18 ,7,0.2,13.49 ,53.97 
3049,411.80 ,2,0,70.01 ,411.80 
3050,360.00 ,4,0,129.60 ,360.00 
3051,41.96 ,2,0,2.94 ,41.96 
3052,227.84 ,4,0,66.07 ,227.84 
3053,37.94 ,2,0,18.21 ,37.94 
3054,517.90 ,2,0,134.65 ,517.90 
3055,5.28 ,2,0,2.43 ,5.28 
3056,"2,799.96 ",5,0.2,874.99 ,"3,499.95 "
3057,8.96 ,2,0,4.30 ,8.96 
3058,31.50 ,10,0,15.12 ,31.50 
3059,30.56 ,2,0,10.39 ,30.56 
3060,24.37 ,2,0.2,-3.35 ,30.46 
3061,119.98 ,3,0.2,22.50 ,149.97 
3062,26.88 ,8,0.2,9.74 ,33.60 
3063,83.97 ,3,0,23.51 ,83.97 
3064,104.97 ,3,0,7.35 ,104.97 
3065,90.80 ,8,0,25.42 ,90.80 
3066,140.74 ,8,0.2,49.26 ,175.92 
3067,214.95 ,5,0,88.13 ,214.95 
3068,45.36 ,7,0,21.77 ,45.36 
3069,288.24 ,6,0,138.36 ,288.24 
3070,663.94 ,4,0.2,82.99 ,829.92 
3071,"2,934.33 ",7,0,792.27 ,"2,934.33 "
3072,124.41 ,3,0,14.93 ,124.41 
3073,57.75 ,5,0,26.57 ,57.75 
3074,114.46 ,2,0,28.62 ,114.46 
3075,120.67 ,2,0.15,18.45 ,141.96 
3076,342.86 ,3,0.2,38.57 ,428.58 
3077,16.74 ,5,0.6,-14.23 ,41.85 
3078,981.37 ,2,0.3,-140.20 ,"1,401.96 "
3079,31.84 ,8,0,10.51 ,31.84 
3080,12.96 ,2,0,6.22 ,12.96 
3081,43.18 ,3,0.2,15.11 ,53.97 
3082,58.34 ,2,0,28.00 ,58.34 
3083,539.97 ,3,0,134.99 ,539.97 
3084,3.93 ,1,0.2,1.33 ,4.91 
3085,252.78 ,4,0.8,-417.09 ,"1,263.92 "
3086,127.98 ,2,0.2,16.00 ,159.98 
3087,3.98 ,2,0.6,-2.69 ,9.96 
3088,12.99 ,2,0.8,-32.48 ,64.96 
3089,61.00 ,5,0,25.62 ,61.00 
3090,671.93 ,7,0,188.14 ,671.93 
3091,447.86 ,7,0,219.45 ,447.86 
3092,479.95 ,5,0,129.59 ,479.95 
3093,166.44 ,3,0,79.89 ,166.44 
3094,31.68 ,4,0.2,2.77 ,39.60 
3095,10.37 ,2,0.2,3.63 ,12.96 
3096,12.03 ,8,0.2,2.26 ,15.04 
3097,5.77 ,2,0.8,-13.55 ,28.84 
3098,33.12 ,4,0.2,11.59 ,41.40 
3099,220.27 ,4,0.32,-42.11 ,323.92 
3100,10.78 ,3,0.2,3.50 ,13.47 
3101,242.35 ,3,0.2,9.09 ,302.94 
3102,695.16 ,6,0,34.76 ,695.16 
3103,220.98 ,1,0,50.83 ,220.98 
3104,12.96 ,7,0.7,-9.50 ,43.19 
3105,25.68 ,6,0,11.56 ,25.68 
3106,15.71 ,4,0.2,5.70 ,19.64 
3107,298.46 ,6,0.2,26.12 ,373.08 
3108,21.93 ,3,0,10.09 ,21.93 
3109,242.94 ,3,0,4.86 ,242.94 
3110,7.64 ,1,0,3.74 ,7.64 
3111,51.84 ,8,0,25.40 ,51.84 
3112,265.17 ,1,0,47.73 ,265.17 
3113,837.60 ,3,0.2,62.82 ,"1,047.00 "
3114,135.90 ,5,0,63.87 ,135.90 
3115,34.68 ,6,0,16.99 ,34.68 
3116,532.70 ,6,0.2,-39.95 ,665.88 
3117,43.10 ,5,0,11.21 ,43.10 
3118,15.88 ,4,0,0.16 ,15.88 
3119,"1,123.92 ",5,0.2,-182.64 ,"1,404.90 "
3120,249.58 ,2,0.2,31.20 ,311.98 
3121,48.67 ,3,0.2,7.30 ,60.84 
3122,60.77 ,2,0.2,7.60 ,75.96 
3123,78.60 ,5,0.7,-62.88 ,262.00 
3124,3.77 ,2,0.7,-3.14 ,12.56 
3125,"1,036.62 ",2,0.2,51.83 ,"1,295.78 "
3126,563.81 ,4,0.2,21.14 ,704.76 
3127,258.53 ,2,0.4,-47.40 ,430.88 
3128,49.12 ,4,0,23.09 ,49.12 
3129,44.46 ,2,0,14.67 ,44.46 
3130,241.57 ,2,0.2,18.12 ,301.96 
3131,395.00 ,5,0,39.50 ,395.00 
3132,627.17 ,4,0.2,70.56 ,783.96 
3133,13.28 ,2,0,6.37 ,13.28 
3134,12.67 ,3,0.2,4.44 ,15.84 
3135,30.56 ,5,0.8,-45.84 ,152.80 
3136,77.95 ,3,0.2,-15.59 ,97.44 
3137,67.99 ,1,0.2,8.50 ,84.99 
3138,12.22 ,2,0.2,4.43 ,15.28 
3139,44.78 ,2,0.2,-0.56 ,55.98 
3140,22.85 ,3,0.6,-17.71 ,57.12 
3141,206.43 ,3,0,90.83 ,206.43 
3142,210.39 ,2,0.8,-336.63 ,"1,051.96 "
3143,119.96 ,5,0.2,35.99 ,149.95 
3144,10.61 ,6,0.2,0.93 ,13.26 
3145,347.80 ,7,0.3,-24.84 ,496.86 
3146,963.14 ,4,0.2,108.35 ,"1,203.92 "
3147,88.78 ,3,0.2,7.77 ,110.97 
3148,32.40 ,5,0,10.37 ,32.40 
3149,32.40 ,5,0,15.55 ,32.40 
3150,31.05 ,3,0,14.90 ,31.05 
3151,"2,025.36 ",6,0.2,607.61 ,"2,531.70 "
3152,"1,799.99 ",2,0.7,"-2,639.99 ","5,999.98 "
3153,101.99 ,2,0.4,-17.00 ,169.98 
3154,262.86 ,7,0.2,69.00 ,328.58 
3155,735.98 ,2,0,331.19 ,735.98 
3156,93.02 ,3,0.2,33.72 ,116.28 
3157,284.36 ,2,0.4,-75.83 ,473.94 
3158,26.00 ,2,0,11.70 ,26.00 
3159,67.64 ,5,0.2,5.92 ,84.55 
3160,119.98 ,3,0.2,-18.00 ,149.97 
3161,5.18 ,5,0.8,-8.03 ,25.90 
3162,15.56 ,2,0,7.31 ,15.56 
3163,78.35 ,5,0,36.82 ,78.35 
3164,59.52 ,3,0,15.48 ,59.52 
3165,38.52 ,9,0,17.33 ,38.52 
3166,239.98 ,2,0.2,24.00 ,299.98 
3167,19.35 ,3,0,9.48 ,19.35 
3168,67.00 ,5,0,32.16 ,67.00 
3169,390.27 ,8,0.2,-24.39 ,487.84 
3170,62.19 ,13,0.2,19.44 ,77.74 
3171,23.88 ,6,0,11.22 ,23.88 
3172,3.17 ,2,0.8,-4.75 ,15.84 
3173,528.43 ,5,0.3,0.00 ,754.90 
3174,13.39 ,3,0.2,1.51 ,16.74 
3175,181.86 ,7,0,50.92 ,181.86 
3176,180.59 ,2,0.7,-240.78 ,601.96 
3177,47.98 ,2,0.2,0.60 ,59.98 
3178,18.76 ,2,0,9.00 ,18.76 
3179,20.94 ,3,0,6.07 ,20.94 
3180,58.68 ,2,0,18.19 ,58.68 
3181,254.90 ,5,0,68.82 ,254.90 
3182,9.64 ,2,0,4.43 ,9.64 
3183,826.62 ,3,0,355.45 ,826.62 
3184,"1,633.14 ",9,0,473.61 ,"1,633.14 "
3185,544.38 ,3,0,157.87 ,544.38 
3186,26.05 ,3,0.8,-44.28 ,130.23 
3187,74.35 ,3,0.2,26.95 ,92.94 
3188,69.93 ,7,0,32.17 ,69.93 
3189,3.75 ,1,0,1.80 ,3.75 
3190,20.93 ,4,0.2,7.59 ,26.16 
3191,12.67 ,3,0.2,-3.17 ,15.84 
3192,65.99 ,1,0,17.16 ,65.99 
3193,6.37 ,7,0.8,-9.56 ,31.85 
3194,3.65 ,3,0.8,-6.02 ,18.24 
3195,31.10 ,6,0.2,10.89 ,38.88 
3196,23.34 ,3,0,0.23 ,23.34 
3197,29.97 ,3,0,14.09 ,29.97 
3198,3.37 ,3,0.7,-2.24 ,11.22 
3199,95.97 ,4,0.2,9.60 ,119.96 
3200,18.70 ,7,0.2,2.34 ,23.38 
3201,149.23 ,3,0.2,3.73 ,186.54 
3202,15.94 ,4,0.2,5.78 ,19.92 
3203,601.54 ,8,0.2,60.15 ,751.92 
3204,10.99 ,1,0,4.29 ,10.99 
3205,39.88 ,2,0,11.17 ,39.88 
3206,62.24 ,8,0,28.01 ,62.24 
3207,53.20 ,5,0,14.90 ,53.20 
3208,39.84 ,8,0,18.33 ,39.84 
3209,349.95 ,5,0,118.98 ,349.95 
3210,377.93 ,9,0.2,141.72 ,472.41 
3211,13.39 ,3,0.2,5.02 ,16.74 
3212,11.23 ,7,0.8,-18.53 ,56.14 
3213,207.24 ,11,0,58.03 ,207.24 
3214,1.50 ,1,0.2,0.17 ,1.88 
3215,34.85 ,2,0.2,6.53 ,43.56 
3216,75.18 ,6,0,35.33 ,75.18 
3217,149.97 ,3,0,52.49 ,149.97 
3218,931.18 ,3,0.2,314.27 ,"1,163.97 "
3219,430.88 ,2,0,124.96 ,430.88 
3220,94.85 ,5,0,45.53 ,94.85 
3221,51.12 ,4,0,23.00 ,51.12 
3222,90.00 ,1,0,32.40 ,90.00 
3223,9.41 ,2,0.2,3.41 ,11.76 
3224,4.67 ,2,0.2,1.46 ,5.84 
3225,318.40 ,2,0.2,107.46 ,398.00 
3226,12.77 ,6,0.2,4.63 ,15.96 
3227,15.36 ,2,0.2,-3.26 ,19.20 
3228,230.38 ,3,0.2,20.16 ,287.97 
3229,7.16 ,1,0.2,-0.09 ,8.95 
3230,375.34 ,1,0,18.77 ,375.34 
3231,114.90 ,5,0,39.07 ,114.90 
3232,26.05 ,3,0.8,-44.28 ,130.23 
3233,2.90 ,1,0.8,-4.78 ,14.48 
3234,32.54 ,2,0.2,-7.73 ,40.68 
3235,3.98 ,1,0.2,1.39 ,4.98 
3236,181.80 ,1,0.3,-15.58 ,259.71 
3237,44.94 ,3,0,12.58 ,44.94 
3238,45.58 ,3,0.2,15.95 ,56.97 
3239,318.43 ,5,0.3,-77.33 ,454.90 
3240,122.92 ,7,0.2,46.10 ,153.65 
3241,7.07 ,3,0.6,-2.83 ,17.67 
3242,56.45 ,5,0,14.68 ,56.45 
3243,13.47 ,13,0.8,-22.90 ,67.34 
3244,219.80 ,5,0.2,24.73 ,274.75 
3245,317.06 ,3,0.3,-18.12 ,452.94 
3246,49.08 ,3,0,4.91 ,49.08 
3247,324.90 ,5,0,38.99 ,324.90 
3248,18.24 ,3,0,5.29 ,18.24 
3249,113.89 ,2,0.2,9.97 ,142.36 
3250,105.58 ,2,0.2,7.92 ,131.98 
3251,24.85 ,7,0,11.68 ,24.85 
3252,60.31 ,3,0.2,5.28 ,75.39 
3253,7.06 ,3,0.2,2.21 ,8.82 
3254,27.18 ,2,0.2,2.04 ,33.98 
3255,107.98 ,1,0.2,9.45 ,134.98 
3256,19.30 ,3,0.2,6.03 ,24.12 
3257,4.61 ,2,0.2,1.67 ,5.76 
3258,79.97 ,3,0.4,-29.32 ,133.29 
3259,2.95 ,2,0.7,-2.06 ,9.82 
3260,3.14 ,2,0.8,-4.70 ,15.68 
3261,20.74 ,4,0.2,7.26 ,25.92 
3262,99.98 ,2,0,8.00 ,99.98 
3263,733.95 ,7,0,352.30 ,733.95 
3264,241.44 ,3,0,72.43 ,241.44 
3265,10.08 ,4,0.2,3.53 ,12.60 
3266,281.90 ,2,0.2,10.57 ,352.38 
3267,201.43 ,3,0.2,67.98 ,251.79 
3268,135.98 ,2,0,34.00 ,135.98 
3269,44.95 ,1,0,12.59 ,44.95 
3270,2.97 ,3,0,1.31 ,2.97 
3271,6.54 ,3,0,2.68 ,6.54 
3272,7.92 ,8,0,3.48 ,7.92 
3273,203.92 ,5,0.2,22.94 ,254.90 
3274,"3,359.95 ",6,0.2,"1,049.99 ","4,199.94 "
3275,18.24 ,3,0,9.12 ,18.24 
3276,27.78 ,6,0,9.17 ,27.78 
3277,22.96 ,7,0,7.58 ,22.96 
3278,28.99 ,1,0,8.41 ,28.99 
3279,12.96 ,2,0,6.35 ,12.96 
3280,22.96 ,7,0,6.66 ,22.96 
3281,"4,164.05 ",5,0,83.28 ,"4,164.05 "
3282,47.98 ,2,0.2,13.20 ,59.98 
3283,4.62 ,1,0.2,1.68 ,5.78 
3284,15.24 ,3,0,5.18 ,15.24 
3285,63.92 ,7,0.7,-46.88 ,213.08 
3286,6.56 ,2,0,1.90 ,6.56 
3287,13.11 ,3,0,3.41 ,13.11 
3288,494.38 ,3,0.2,49.44 ,617.97 
3289,29.20 ,5,0.2,9.86 ,36.50 
3290,248.85 ,5,0,27.37 ,248.85 
3291,36.24 ,1,0,15.22 ,36.24 
3292,11.68 ,2,0,3.50 ,11.68 
3293,11.91 ,3,0,0.12 ,11.91 
3294,3.48 ,2,0,1.11 ,3.48 
3295,30.96 ,8,0.8,-52.63 ,154.80 
3296,"1,704.89 ",11,0,767.20 ,"1,704.89 "
3297,19.19 ,7,0.7,-12.80 ,63.98 
3298,121.79 ,4,0.2,13.70 ,152.24 
3299,"1,919.98 ",3,0.2,216.00 ,"2,399.97 "
3300,51.00 ,1,0.7,-40.80 ,169.99 
3301,76.79 ,1,0.2,-16.32 ,95.99 
3302,539.96 ,6,0.4,-107.99 ,899.94 
3303,60.31 ,3,0.2,5.28 ,75.39 
3304,1.94 ,3,0.7,-1.43 ,6.48 
3305,12.98 ,3,0.2,4.71 ,16.23 
3306,217.58 ,2,0.2,19.04 ,271.98 
3307,328.78 ,3,0.2,28.77 ,410.97 
3308,2.29 ,3,0.8,-3.66 ,11.43 
3309,47.98 ,2,0.2,14.40 ,59.98 
3310,25.34 ,6,0.2,8.87 ,31.68 
3311,232.40 ,5,0.2,78.44 ,290.50 
3312,86.45 ,7,0,38.04 ,86.45 
3313,603.92 ,5,0.2,45.29 ,754.90 
3314,81.98 ,2,0,40.17 ,81.98 
3315,271.76 ,2,0.1,48.31 ,301.96 
3316,14.38 ,3,0.2,4.85 ,17.97 
3317,341.96 ,5,0.6,-427.45 ,854.90 
3318,181.35 ,9,0,48.96 ,181.35 
3319,8.64 ,3,0,4.23 ,8.64 
3320,43.51 ,7,0.2,3.81 ,54.39 
